"","names","omega","se"
"1","Mean Utility 1","-0.400833284091924","0.123524709102428"
"2","Mean Utility 2","-2.61165670303373","0.157196142407894"
"3","Mean Utility 3","4.29678051610946","0.129415218918748"
"4","Mean Utility 4","2.44037258089763","0.180775977806451"
"5","Mean Utility 5","-4.83304335521518","0.147694021164339"
"6","Mean Utility 6","-0.720298664426129","0.108901652160645"
"7","Mean Utility 7","-3.50464452415485","0.153186253623431"
"8","Mean Utility 8","-4.12103245162786","0.157935269251625"
"9","Mean Utility 9","-5.37981964161538","0.194025342758763"
"10","Mean Utility 10","0.0373754997231053","0.107477688434561"
"11","Mean Utility 11","-2.68117787278656","0.142613561860747"
"12","Mean Utility 12","-0.994054572815585","0.127996622079294"
"13","Mean Utility 13","-0.224430045054705","0.1065637990547"
"14","Mean Utility 14","3.7077448089256","0.143071839704242"
"15","Mean Utility 15","-6.00684114046267","0.213356255020412"
"16","Mean Utility 16","-1.35553857437485","0.161225048032463"
"17","Mean Utility 17","-3.38597079936238","0.164081781723422"
"18","Mean Utility 18","0.535331396415813","0.154156330339401"
"19","Mean Utility 19","2.22949277344606","0.115023526510352"
"20","Mean Utility 20","-4.31757228722077","0.160371316821609"
"21","Mean Utility 21","-1.70882439537191","0.125908327503752"
"22","Mean Utility 22","-1.93985184405032","0.132569315998849"
"23","Mean Utility 23","1.33614536276545","0.108556891890162"
"24","Mean Utility 24","-2.6793778334013","0.131866621730645"
"25","Mean Utility 25","0.483351053684099","0.117540663117228"
"26","Mean Utility 26","-3.48031041205613","0.132414645745213"
"27","Mean Utility 27","0.917710380692868","0.120074912453711"
"28","Mean Utility 28","-5.58958636327769","0.149855413998762"
"29","Mean Utility 29","-4.73412713265583","0.147407129661478"
"30","Mean Utility 30","4.6057219378769","0.121656273325187"
"31","Mean Utility 31","-1.8350932040011","0.137569484190304"
"32","Mean Utility 32","-3.22316392302476","0.176150953568504"
"33","Mean Utility 33","-0.806974079474406","0.153691766845838"
"34","Mean Utility 34","1.18420248133263","0.105879397301665"
"35","Mean Utility 35","5.13590613418781","0.133673438475063"
"36","Mean Utility 36","-1.54321192818877","0.120980731657093"
"37","Mean Utility 37","-4.14422144315793","0.173645610648575"
"38","Mean Utility 38","-0.172082653587609","0.118879372455742"
"39","Mean Utility 39","5.48194247337462","0.138159609194561"
"40","Mean Utility 40","12.9858572310795","0.422520842960918"
"41","U x Female","-0.158704949397279","0.080922459867386"
"42","U x Black","0.586385365662942","0.193009596045384"
"43","U x Hispanic","0.287528811747352","0.142865914744263"
"44","U x White","-0.822882191726818","0.157321015355124"
"45","U x Poverty","0.516235024896792","0.0893145940837917"
"46","U x LEP","-0.834260098926404","0.127487244274402"
"47","U x English Home","-0.0370278870086149","0.119084382854294"
"48","U x Lag ELA","0.473625443572307","0.0593315105489934"
"49","U x Lag Math","0.498625916093291","0.0574141163740339"
"50","U x Income","-0.101171827609888","0.0178340869670811"
"51","U x In Magnet","3.63931318773494","0.130006623280184"
"52","U x Peer Q","-0.207594670462327","0.0996524295011801"
"53","Distance Cost","-0.810588956694892","0.017007257785312"
"54","Distance Cost x Female","-0.0259684498064084","0.00578304898203865"
"55","Distance Cost x Black","-0.0127977361904585","0.0136669780773264"
"56","Distance Cost x Hispanic","-0.0718358887400594","0.0088107495864088"
"57","Distance Cost x White","-0.242461593003782","0.0155783532587396"
"58","Distance Cost x Poverty","-0.0118460777478025","0.0062698207525589"
"59","Distance Cost x LEP","0.0314840731660345","0.0067612575617279"
"60","Distance Cost x English Home","-0.00582669083091514","0.00889710271959812"
"61","Distance Cost x Lag ELA","-0.00152321675861972","0.00381491666962667"
"62","Distance Cost x Lag Math","-0.00753154440607084","0.00364366040878428"
"63","Distance Cost x Income","-0.0231083946632268","0.00180754865620791"
"64","Distance Cost x In Magnet","0.0612762796687571","0.00793884382121352"
"65","Distance Cost x Peer Q","0.0533265060053764","0.00739111230242362"
"66","Distance Cost Squared","0.0144390753675509","0.000455201822782362"
"67","App. Cost","2.63839767574502","0.0402785258198962"
"68","App. Cost x Female","-0.0931208245761234","0.0215898832362584"
"69","App. Cost x Black","0.0609863539081043","0.0563172452363534"
"70","App. Cost x Hispanic","0.491874658288974","0.0452882484518824"
"71","App. Cost x White","0.0463172944537955","0.0473266027275815"
"72","App. Cost x Poverty","0.11488311865053","0.0243539931284606"
"73","App. Cost x LEP","0.0836151795843323","0.0305968763320476"
"74","App. Cost x English Home","-0.102295098589525","0.0327628744101397"
"75","App. Cost x Lag ELA","-0.159868641764673","0.0170424071543339"
"76","App. Cost x Lag Math","-0.0927879527002446","0.016161908633017"
"77","App. Cost x Income","0.00955437733578691","0.00459914791275072"
"78","App. Cost x In Magnet","-0.512577930469447","0.0339546897849137"
"79","App. Cost x Peer Q","-0.293276905248788","0.0288068898291"
"80","SD eta","1.61112957766514","0.0559159473249554"
"81","SD theta 1","1.61651276333631","0.190418784929991"
"82","SD theta 2","1.75368178161806","0.224932246949453"
"83","Alpha 1","2.33980358812549","0.0317011001313483"
"84","Mu theta 1","-0.666311760252055","0.022683975418536"
"85","Type 1 Probability","0.912120342693142","0.00254105947652396"
"86","Mu theta 2","6.91578153268634","0.156765221139261"
