"","names","omega","se"
"1","Mean Utility 1","-1.39023728049851","0.0726329069826697"
"2","Mean Utility 2","-1.85260232257535","0.0830127175210434"
"3","Mean Utility 3","0.300905014198259","0.0667267904587916"
"4","Mean Utility 4","0.199855429138649","0.0994188918517536"
"5","Mean Utility 5","-2.98306716113995","0.0733601429155587"
"6","Mean Utility 6","-1.4328039413827","0.0632803911330354"
"7","Mean Utility 7","-2.58424489741156","0.0685719553938936"
"8","Mean Utility 8","-2.91756384242501","0.0720265451937672"
"9","Mean Utility 9","-3.3778959143364","0.0767897679484868"
"10","Mean Utility 10","-1.04571946320576","0.0608930647935697"
"11","Mean Utility 11","-2.22694348691","0.0699682930483431"
"12","Mean Utility 12","-1.68155589514515","0.067121548374995"
"13","Mean Utility 13","-1.78969667098673","0.0689841903275236"
"14","Mean Utility 14","0.393291032298677","0.0647226728275536"
"15","Mean Utility 15","-3.48132550643141","0.080784711979966"
"16","Mean Utility 16","-1.85481140273001","0.0768416225484188"
"17","Mean Utility 17","-2.5444084356577","0.0808839332617649"
"18","Mean Utility 18","-0.73043886784498","0.0676385844421021"
"19","Mean Utility 19","-0.385549570340897","0.0622083141221492"
"20","Mean Utility 20","-3.06359951010168","0.0747320111113145"
"21","Mean Utility 21","-1.99929698691888","0.0677533190531906"
"22","Mean Utility 22","-1.86470979672584","0.0655485618594319"
"23","Mean Utility 23","-0.458068807962567","0.0583174547005386"
"24","Mean Utility 24","-2.51113266802174","0.0685778977942238"
"25","Mean Utility 25","-1.30144357816348","0.064609413784818"
"26","Mean Utility 26","-2.73043325105029","0.0698236228667468"
"27","Mean Utility 27","-1.28552142933493","0.0734205530691808"
"28","Mean Utility 28","-3.41998498075641","0.0769288760563552"
"29","Mean Utility 29","-3.35060150708414","0.0782502952036884"
"30","Mean Utility 30","0.749326182211917","0.0575820861505153"
"31","Mean Utility 31","-2.1805915388484","0.0670304779326908"
"32","Mean Utility 32","-2.35812135621929","0.0700777816433469"
"33","Mean Utility 33","-1.41509998552208","0.07412734257028"
"34","Mean Utility 34","-0.828122219469524","0.0593485763699974"
"35","Mean Utility 35","1.27693563374611","0.062927517940507"
"36","Mean Utility 36","-2.20371457148093","0.0653158451257983"
"37","Mean Utility 37","-2.74422268240358","0.0726190132626603"
"38","Mean Utility 38","-1.40261675716495","0.0662914589914515"
"39","Mean Utility 39","1.51707707265851","0.0628169569179757"
"40","Mean Utility 40","7.63197441565155","0.241810473003711"
"41","U x Female","-0.0192539800419349","0.0331814126877065"
"42","U x Black","-0.0957056695878549","0.0772735284179251"
"43","U x Hispanic","-0.224171278208643","0.0561829922780379"
"44","U x White","-1.15803344817293","0.0620337051473593"
"45","U x Poverty","0.102035023709556","0.0372714040773992"
"46","U x LEP","-0.327005789533043","0.0557487589890088"
"47","U x English Home","-0.0661048634203897","0.0464630725760102"
"48","U x Lag ELA","0.248318792020751","0.0270914822675298"
"49","U x Lag Math","0.199028827591259","0.0250955074204545"
"50","U x Income","-0.066020111577657","0.00633239717250925"
"51","U x In Magnet","1.55647851010584","0.0554618091756241"
"52","U x Peer Q","0.160898605742507","0.0403567521642553"
"53","Distance Cost","-0.283228827380762","0.00576002223983724"
"54","Distance Cost x Female","-0.00565740247381937","0.0037569637354064"
"55","Distance Cost x Black","0.00842583270818772","0.00919595870793008"
"56","Distance Cost x Hispanic","-0.0129952966761869","0.00668168747299664"
"57","Distance Cost x White","-0.169591639253647","0.00923920509639953"
"58","Distance Cost x Poverty","-0.0215096998690208","0.00422109982124256"
"59","Distance Cost x LEP","0.00430807455676709","0.00579360025371887"
"60","Distance Cost x English Home","0.00879846467258437","0.00549542987743174"
"61","Distance Cost x Lag ELA","0.00127807946286139","0.00292257731643154"
"62","Distance Cost x Lag Math","-0.00823925170597203","0.00281188337989313"
"63","Distance Cost x Income","-0.000871260217776127","0.000889814485569543"
"64","Distance Cost x In Magnet","0.0689626900043339","0.00492898854173213"
"65","Distance Cost x Peer Q","0.0245605940259709","0.00441088227358517"
"66","Distance Cost Squared","0.00277091739290209","0.000290066433304412"
"67","App. Cost","-0.278469411701583","0.0157908803520591"
"68","App. Cost x Female","-0.003439278845528","0.00546470608535864"
"69","App. Cost x Black","-0.0574381418062801","0.014343024312033"
"70","App. Cost x Hispanic","0.0644226815162403","0.0110513807813326"
"71","App. Cost x White","-0.114737039719159","0.0125792429949463"
"72","App. Cost x Poverty","-0.00128460522279588","0.00620253693746902"
"73","App. Cost x LEP","-0.00145284481318378","0.00804932510685628"
"74","App. Cost x English Home","-0.0173120965873749","0.00804112510327028"
"75","App. Cost x Lag ELA","-0.0363895076526575","0.0044236104155015"
"76","App. Cost x Lag Math","-0.0253499419654026","0.00424028505475255"
"77","App. Cost x Income","0.00749241402210652","0.00110298921682645"
"78","App. Cost x In Magnet","-0.0892312507181544","0.0100680512506703"
"79","App. Cost x Peer Q","-0.0355494821060063","0.00747745627365987"
"80","SD eta","0.209935362115715","0.0267779584921366"
"81","SD theta 1","0.788706958584593","0.0912096971343362"
"82","SD theta 2","0.89793673901349","0.170765882886972"
"83","Alpha 1","2.53531276246342","0.0614937642355439"
"84","Mu theta 1","-0.231763476342432","0.0109894218345371"
"85","Type 1 Probability","0.926580595396697","0.00418335901851355"
"86","Mu theta 2","2.92494254156505","0.0971003725679992"
