"program","n_apps_pred","n_apps_actual","n_apps_phbao_pred","n_apps_phbao_actual","n_apps_white_pred","n_apps_white_actual","n_apps_asian_pred","n_apps_asian_actual","n_apps_low_score_school_pred","n_apps_low_score_school_actual","n_apps_high_score_school_pred","n_apps_high_score_school_actual"
0,135424.183035586,136936,127633.686408744,129071,7792.87336516854,7865,3512.2561793035,3239,41243.7111066678,41123,94182.8486672446,95813
1,369.413684103389,263,332.039175644156,250,38.5581024198704,13,39.4716548446142,1,57.8275735328624,54,312.769704531168,209
2,251.57244799641,177,222.74816656457,177,29.6605559173709,0,19.03415264352,1,65.8598681341533,79,186.548854347791,98
3,384.791542982471,1038,174.264933562108,998,212.422345565695,40,13.9593857575604,36,56.817462926257,446,329.869816201542,592
4,270.645763596823,231,232.808193809662,126,37.5864438275334,105,24.4600659842989,11,34.7090912993416,30,235.685546337856,201
5,305.551008002188,192,276.725744084818,192,29.068225311137,0,14.8521769859596,1,95.3927721733663,98,210.401197222595,94
6,667.062465838148,631,604.049434380659,589,63.2483759164446,42,103.097571462473,10,108.113715470042,160,559.184094827075,471
7,304.778893748056,190,274.875014917893,190,29.3626708112633,0,16.139088126074,0,60.3786327988134,69,243.859052930349,121
8,253.386582829326,151,222.240831255653,151,29.5685008653299,0,13.2351423420586,0,51.6475841237197,48,200.161747997266,103
9,229.076416478498,190,199.383212780131,190,29.279130208474,0,7.2521092458419,2,74.5741740666985,82,154.08816892191,108
10,871.821619384,949,789.489915456703,839,86.891527395271,110,123.530929786692,249,175.773046563517,112,700.608396288471,837
11,312.146498642683,194,267.23857316581,179,47.2644149981596,15,15.8699521963387,4,50.1040787279983,48,264.398909435973,146
12,614.758090959014,466,583.742800018356,466,30.6938278081275,0,24.9572917879944,3,104.284456814848,232,510.152171011647,234
13,552.721796035069,401,490.005183397368,256,63.4131995057136,145,87.8972108351794,99,44.0228916459039,24,509.395491257184,377
14,1478.46371540919,1183,1149.25414860651,945,325.87386296788,238,58.8623377116502,80,155.95001299998,80,1319.17799857442,1103
15,202.022996887222,135,172.598895412151,135,29.1953675284728,0,6.84143464325151,0,60.2757587690719,83,141.518504171555,52
16,278.467145925054,223,243.846494019766,222,32.5824038264506,1,26.2580208939291,22,48.0762786824381,62,228.352619163782,161
17,258.94160749686,166,227.452354100417,166,29.8474911729168,0,23.3946203504386,24,41.9189150873285,29,215.380930186008,137
18,600.702442998329,407,539.021956216487,368,60.0180784156794,39,30.1318642897475,17,74.6847380084304,40,524.355296623742,367
19,601.096730296383,607,433.94651607046,503,166.647324053595,104,72.4529896363923,29,49.4443185272216,99,551.149521596834,508
20,376.303122688765,267,346.668945359575,267,29.3300790418873,0,7.9934071862498,0,103.325904776512,70,272.67311962496,197
21,501.840369027189,371,472.2883590429,369,29.9406893822718,2,20.6527793500266,5,98.8959750180237,59,403.333073407154,312
22,517.302836165999,452,486.008916150746,452,29.84471251808,0,31.2592023754748,2,152.485864666582,146,363.367764002249,306
23,767.168711209518,719,540.755170983308,527,224.814646647232,192,70.1613354043806,65,68.226890291566,52,697.342927338971,667
24,497.9743055531,515,465.198390374821,413,32.1124849274583,102,68.0641781635609,78,76.8794090512962,78,420.43146625099,437
25,629.424488974912,472,587.141936991284,333,42.6679063952002,139,171.224865302119,164,39.2926012973405,11,590.517242089155,461
26,309.676943214113,237,277.543754373225,178,31.8331061059995,59,47.1141128147678,10,46.428225983864,68,262.948634495364,169
27,310.836423528778,359,254.796843619201,335,56.0819564297946,24,24.8019237234389,7,61.2375817876555,113,249.641218261341,246
28,214.042403610135,193,184.808573712663,192,28.9473714886248,1,6.63880883933049,0,62.0330052290689,87,151.722939972222,106
29,199.934013740814,110,170.687676149663,110,29.4686616389313,0,7.31734681965246,2,63.1746282298201,52,136.981709558778,58
30,2024.43031169554,2049,1455.83235638733,1471,567.114039967764,578,296.024587436632,406,121.41499024902,77,1901.53140610609,1972
31,334.102483200908,275,297.040906958437,201,36.6497532373945,74,18.1982096646358,5,51.1270096952588,49,282.563650500576,226
32,225.077449166226,162,191.783593116821,147,31.9912736055688,15,12.1076887584201,3,35.6318956837686,37,188.142971038623,125
33,307.272470026047,298,272.283109288457,294,36.3402571480024,4,16.6291790507287,9,68.6283547715133,104,239.99501166495,194
34,918.834309605321,708,771.110911247219,553,149.053381064567,155,79.8044219267121,188,96.0986044989115,36,824.065687812882,672
35,1097.34261880936,1014,625.712262273825,820,469.252019445623,194,89.6833546342675,109,102.705890070307,133,992.258391649138,881
36,542.22038128963,395,508.275602085283,319,34.5306098430591,76,44.1626404920504,57,75.8714286092367,43,466.934783319113,352
37,256.260603918238,184,227.416159549389,184,29.2968069371109,0,11.2484818837648,2,60.6604322725466,71,196.052534213957,113
38,579.507451068915,562,533.492421865742,487,49.0459411869676,75,41.673672736572,27,143.570668155261,110,438.967694897456,452
39,1937.25773826318,2038,1795.94590253876,1634,140.141068084559,404,188.051635656527,456,456.269030606697,237,1479.81794001664,1801
40,395.586080046153,1064,352.790255722626,588,44.4880212199791,476,31.2339889531744,95,70.475132035979,77,326.803144906632,987
