"program","n_offers_pred","n_offers_actual","n_offers_phbao_pred","n_offers_phbao_actual","n_offers_white_pred","n_offers_white_actual","n_offers_asian_pred","n_offers_asian_actual","n_offers_low_score_school_pred","n_offers_low_score_school_actual","n_offers_high_score_school_pred","n_offers_high_score_school_actual","n_enr_pred","n_enr_actual","n_enr_phbao_pred","n_enr_phbao_actual","n_enr_white_pred","n_enr_white_actual","n_enr_asian_pred","n_enr_asian_actual","n_enr_low_score_school_pred","n_enr_low_score_school_actual","n_enr_high_score_school_pred","n_enr_high_score_school_actual"
1,280.105608086555,222,245.435675137268,210,35.5899639307694,12,30.4720633574655,1,42.8306834180851,37,238.194955649955,185,135.947525531656,193,132.174470761178,186,4.75945778826548,7,19.2159749894489,0,18.4075371346632,33,118.526391414785,160
2,104.524743225868,93,98.8754102406894,93,6.06750030225568,0,8.4130562853114,0,29.431722387582,39,75.5111881553653,54,40.4115399125747,75,40.5454675093567,75,0.0771994222856173,0,3.54218240978087,0,13.9118294407146,31,26.7108374909305,44
3,219.688091508539,182,17.1364044358786,149,202.870214743156,33,1.3844247050422,2,13.4860666923449,46,206.52055248668,136,132.899782040444,148,9.92406998199036,139,123.374464025761,9,0.855521263995458,2,8.90241682287447,41,124.396117184869,107
4,58.3215383587749,59,53.4196040356106,36,4.83234882463349,23,5.69036108873884,3,7.5021436888437,4,50.7498091714012,55,31.4126417086828,49,30.2904842571476,31,1.02823738868944,18,3.70136951707496,1,2.93446641985661,4,28.3842552259818,45
5,275.93366049474,123,276.725744084818,123,0,0,14.8521769859596,1,94.7403719405631,66,181.985372144262,57,120.736939516123,109,121.106419971899,109,0,0,5.01909074104691,1,47.3276487740264,58,73.7787711978798,51
6,409.811226646854,426,348.948535563488,389,60.9043525920654,37,59.5361833565689,8,63.1702430968463,109,346.682645058713,317,236.070056477016,391,218.093288909296,358,18.1811257042503,33,42.6692054107265,8,35.3664794640279,99,200.907935149526,292
7,251.732399998194,162,245.230096864486,162,5.52754265659863,0,14.2710110309171,0,52.9016471904386,59,197.855992330651,103,108.087153244658,150,107.253699647446,150,0.00781830029231865,0,5.34466877963222,0,21.2285195402637,54,86.0329984074811,96
8,229.595551577596,146,222.240831255653,146,5.8113432272797,0,13.2351423420586,0,51.066249394752,47,176.985925088185,99,79.7607088012845,125,78.7888822050805,125,0.00570733043374622,0,3.71744234048032,0,17.0480476970985,38,61.7465418384208,87
9,203.95799879311,175,197.958463158464,175,5.75329402448055,0,7.1946339982382,2,73.5626862109582,73,130.149070971991,102,64.5318753164811,150,64.3148958998841,150,0.00341410987834874,0,0.357122324796433,2,30.8545663539474,64,33.4637436558193,86
10,456.408178914825,440,373.167469039855,344,85.7923884863533,96,58.4079553019013,137,84.1525147281384,41,374.807342798076,399,290.948885898922,420,258.038332027285,331,34.2965547687972,89,44.9086169609945,132,56.4511110912497,37,235.883775704842,383
11,262.000195375442,150,218.71828260617,135,45.7038308233986,15,12.6733102410866,3,39.8749542971097,43,224.54715913246,107,119.209697867953,127,112.02346087544,115,8.98176758405206,12,5.4244105291056,3,18.4875746653879,38,102.517653794107,89
12,450.57013618386,371,437.70648320925,371,12.8861560068209,0,18.5095664839702,3,77.3447107028059,175,373.247928513273,196,277.628805833064,336,277.071918264141,336,0.766125465221844,0,10.5583862710777,2,43.1833144928976,165,234.654729236478,171
13,548.307751181625,200,490.005183397368,111,58.9766970062793,89,87.8972108351794,86,43.9576125879279,0,505.024267815725,200,308.037622700898,167,291.497316430568,100,18.7042879235597,67,60.8057867954471,78,16.128427175596,0,294.073177178543,167
14,720.908009183799,539,439.747333141592,348,280.054813418941,191,22.4463128082919,44,61.0476178882328,4,658.754528672292,535,557.155323777803,513,357.017759880505,336,198.962709481657,177,17.6004126695148,44,44.4450475789914,3,511.535421783173,510
15,167.861103991278,84,168.058065476921,84,0,0,6.59517392459989,0,58.2365814286821,49,109.821484048244,35,47.6559708851352,72,47.840359014615,72,0,0,0.280650798715595,0,21.8738742999516,46,25.9664847146675,26
16,179.100729105573,109,145.22534716042,108,32.5824038264506,1,16.312947873536,6,28.5455505880902,19,149.262200398782,90,76.2579318165556,105,73.7638442648382,104,1.73376610350103,1,9.62391016943316,6,12.480698338895,19,63.0169120294503,86
17,210.796048456292,110,191.435417350623,110,18.2518797285854,0,19.9371268862746,16,34.7132183900026,12,174.974078689209,98,84.5417161447888,105,83.6372596368645,105,0.0695627335509995,0,10.0834083342419,16,11.7647578122977,12,71.9420645581205,93
18,334.436946380237,255,277.664696371832,218,56.2421761811125,37,15.3251201804459,11,38.2604267733773,8,295.646445779568,247,208.38504966274,242,189.360176887367,206,18.5280467652257,36,10.1027550099808,11,21.6503767452493,7,186.237846907346,235
19,362.825563395603,351,204.401334750095,257,157.98365400229,94,34.6598572730995,16,24.1531745142352,58,338.231814238147,293,212.557783192845,298,126.574696741895,224,85.8129518055365,74,25.1895834212711,13,10.8478083309262,54,201.539840216502,244
20,351.974565043587,169,334.522442146175,169,17.4306035873393,0,7.68527432644767,0,99.5173689705861,31,252.435676762938,138,164.085434338198,156,164.025464564043,156,0.0184028182095091,0,0.73545501983549,0,49.9802995996052,30,114.06356778266,126
