"","names","omega","se"
"1","Mean Utility 1","-1.49440617519602","0.0746075753668331"
"2","Mean Utility 2","-2.17155782946253","0.0779218408787604"
"3","Mean Utility 3","-0.094505602223411","0.0701298574639651"
"4","Mean Utility 4","-0.365094800227819","0.100720888012788"
"5","Mean Utility 5","-3.20534607947344","0.0700825439130539"
"6","Mean Utility 6","-1.73415585091081","0.0581344075718327"
"7","Mean Utility 7","-2.85328394506046","0.0642807838959516"
"8","Mean Utility 8","-3.1547459493573","0.0674927080560358"
"9","Mean Utility 9","-3.57178695187568","0.0726339980074479"
"10","Mean Utility 10","-1.3615810692071","0.0575715240977635"
"11","Mean Utility 11","-2.61171189047113","0.0675936777481792"
"12","Mean Utility 12","-2.01843899839976","0.0641370946341247"
"13","Mean Utility 13","-2.27208889826593","0.06728532226697"
"14","Mean Utility 14","-0.080714985989847","0.0627079426388092"
"15","Mean Utility 15","-3.68852785967541","0.0753300528371913"
"16","Mean Utility 16","-2.11918510418924","0.0723086265467424"
"17","Mean Utility 17","-2.78983195846336","0.0746643849112042"
"18","Mean Utility 18","-1.17544204488696","0.0655502057387318"
"19","Mean Utility 19","-0.838742053360446","0.0605333983431034"
"20","Mean Utility 20","-3.31519091508677","0.070882935598497"
"21","Mean Utility 21","-2.25910802684842","0.0631036942923741"
"22","Mean Utility 22","-2.11149894420406","0.0612539182828619"
"23","Mean Utility 23","-0.90639003365733","0.0579343787158863"
"24","Mean Utility 24","-2.70757194868682","0.0640781553982132"
"25","Mean Utility 25","-1.78187091610525","0.0636074859616537"
"26","Mean Utility 26","-2.87932903763419","0.0639333414409055"
"27","Mean Utility 27","-1.64212079077663","0.0695774024046312"
"28","Mean Utility 28","-3.63356188105229","0.0722692018192653"
"29","Mean Utility 29","-3.56011394386956","0.0729866911275806"
"30","Mean Utility 30","0.275445051957256","0.0574733260413877"
"31","Mean Utility 31","-2.55021985149013","0.0636269670957732"
"32","Mean Utility 32","-2.73896887681486","0.0673686707812502"
"33","Mean Utility 33","-1.78116096647964","0.0700590904414238"
"34","Mean Utility 34","-1.27736065262685","0.058608189220444"
"35","Mean Utility 35","0.928003000063561","0.0621110233727136"
"36","Mean Utility 36","-2.58956496002117","0.0635545392391737"
"37","Mean Utility 37","-3.02149603193778","0.0706303776813864"
"38","Mean Utility 38","-1.70651099669176","0.0626003850640486"
"39","Mean Utility 39","1.07652708827147","0.0611963310625438"
"40","Mean Utility 40","6.71534922052575","0.234976467237355"
"41","U x Female","-0.0391399891724814","0.0296490378938346"
"42","U x Black","-0.202233926216804","0.0802833097288391"
"43","U x Hispanic","-0.24313815813599","0.0588482214736816"
"44","U x White","-0.92517604856374","0.0689377859948825"
"45","U x Poverty","0.150680906904753","0.0346882291713988"
"46","U x LEP","-0.233330035925773","0.0421681587306724"
"47","U x English Home","-0.0139301712002887","0.0459308330827216"
"48","U x Lag ELA","0.229479752590811","0.0243793475109558"
"49","U x Lag Math","0.251424777381223","0.0236703843461738"
"50","U x Income","-0.0553558161859273","0.00656231011127415"
"51","U x In Magnet","1.59722096376289","0.0554569944516673"
"52","U x Peer Q","-0.046047123967916","0.0417562985070928"
"53","Distance Cost","-0.290902251064869","0.00532392899336799"
"54","Distance Cost x Female","-0.00917322909783419","0.0037195713598689"
"55","Distance Cost x Black","0.0125441778761556","0.00870550576275525"
"56","Distance Cost x Hispanic","-0.0138122228669903","0.00646416793493894"
"57","Distance Cost x White","-0.181330951725084","0.00873226870987024"
"58","Distance Cost x Poverty","-0.0203990570917157","0.00405049184530186"
"59","Distance Cost x LEP","-0.0140921958487521","0.00592941203750718"
"60","Distance Cost x English Home","0.00613153057725477","0.00516651590588845"
"61","Distance Cost x Lag ELA","0.00489023975270041","0.00287524505046492"
"62","Distance Cost x Lag Math","-0.00885790033198334","0.00277112639375996"
"63","Distance Cost x Income","-0.000859511089811268","0.000852652998520643"
"64","Distance Cost x In Magnet","0.0805161315249989","0.00474532286883429"
"65","Distance Cost x Peer Q","0.0222031254888215","0.00430049055031769"
"66","Distance Cost Squared","0.00265065762628863","0.000262177448797469"
"67","App. Cost","-0.349279459686049","0.0158895128127207"
"68","App. Cost x Female","-0.00559237827120559","0.0055178379682906"
"69","App. Cost x Black","-0.0479152351723241","0.0149364163686677"
"70","App. Cost x Hispanic","0.0654876713606991","0.0116390798545285"
"71","App. Cost x White","-0.103034811149662","0.0133157132986087"
"72","App. Cost x Poverty","0.000825238667817319","0.00620877168635375"
"73","App. Cost x LEP","-0.0149684975435982","0.00800325612070695"
"74","App. Cost x English Home","-0.0237046890748999","0.00833394737903773"
"75","App. Cost x Lag ELA","-0.0337949218372439","0.004397800194518"
"76","App. Cost x Lag Math","-0.0222389319899349","0.00431767041305608"
"77","App. Cost x Income","0.00699124837638003","0.00113248233961828"
"78","App. Cost x In Magnet","-0.120067307419276","0.0102076813374435"
"79","App. Cost x Peer Q","-0.0343889985823908","0.00758198025107969"
"80","SD eta","0.193925067445808","0.00427860903494858"
"81","SD theta","1.60766685203303","0.0349442652326132"
