"","names","omega","se"
"1","Mean Utility 1","-0.133076290483857","0.0531046354019476"
"2","Mean Utility 2","-0.870128559889576","0.0773819450738152"
"3","Mean Utility 3","-1.75852823801195","0.149915442367717"
"4","Mean Utility 4","-2.81468908802583","1.88431832236085"
"5","Mean Utility 5","1.61792864363224","0.0564958390086953"
"6","Mean Utility 6","1.20663873118258","0.0970129457052216"
"7","Mean Utility 7","-1.9728329947692","0.0530344252755734"
"8","Mean Utility 8","-0.56690614602418","0.0446125965490013"
"9","Mean Utility 9","-1.57800858455734","0.0522492584048544"
"10","Mean Utility 10","-1.82673351127724","0.0520848499235541"
"11","Mean Utility 11","-2.40383037142625","0.0583845944401411"
"12","Mean Utility 12","-1.60716036283669","0.104295141440067"
"13","Mean Utility 13","0.184663072081452","0.0429078354369289"
"14","Mean Utility 14","-0.947864178386372","0.0497688301909255"
"15","Mean Utility 15","-0.690579537948901","0.0483530191814477"
"16","Mean Utility 16","-0.64314035894316","0.0472773381491579"
"17","Mean Utility 17","1.58669530673172","0.0494156179767343"
"18","Mean Utility 18","-2.60880625792662","0.0705074858673601"
"19","Mean Utility 19","-1.00020980036497","0.0587199850139778"
"20","Mean Utility 20","-1.31770831021589","0.0558633638811615"
"21","Mean Utility 21","0.183898253731253","0.0496590061723612"
"22","Mean Utility 22","0.812945495384036","0.0455689235733867"
"23","Mean Utility 23","-1.97354754110235","0.0538132040632654"
"24","Mean Utility 24","-1.07052569045079","0.0495750453585711"
"25","Mean Utility 25","-1.14734724417142","0.0476324502108564"
"26","Mean Utility 26","0.638565191004739","0.042482910575819"
"27","Mean Utility 27","-1.80665645808532","3.25804539587732"
"28","Mean Utility 28","-1.32275419615655","0.0468092818762208"
"29","Mean Utility 29","-1.37283840232034","0.0751892212449305"
"30","Mean Utility 30","-0.0841674998045392","0.0462833315539562"
"31","Mean Utility 31","-1.59478036754242","0.0495302070778667"
"32","Mean Utility 32","0.046369995795118","0.0504660919973264"
"33","Mean Utility 33","-2.41177447062297","0.0573443813606169"
"34","Mean Utility 34","-0.837480834332625","0.0862297252878648"
"35","Mean Utility 35","-2.35751480679931","0.0612855934472451"
"36","Mean Utility 36","-1.02181049124448","0.0633626981017618"
"37","Mean Utility 37","-1.63021752100634","0.0654270460733269"
"38","Mean Utility 38","2.12013414373034","0.0458621036995911"
"39","Mean Utility 39","-1.3407081624658","0.0491212659560301"
"40","Mean Utility 40","-1.54725457468984","0.0542708319151921"
"41","Mean Utility 41","-0.455932949401905","0.0549875818644386"
"42","Mean Utility 42","0.00206496652764793","0.0414606130568508"
"43","Mean Utility 43","2.47250843166818","0.0524205850211234"
"44","Mean Utility 44","-1.22446101168313","0.0463639982412003"
"45","Mean Utility 45","-1.67913486446464","0.0542389934181731"
"46","Mean Utility 46","-0.902410969355187","0.161162055817735"
"47","Mean Utility 47","-1.04373003921635","0.169147321802077"
"48","Mean Utility 48","-0.58595284394036","0.143082637242491"
"49","Mean Utility 49","-0.65041925001225","0.0866311438248898"
"50","Mean Utility 50","-1.1082330585402","0.26134937154852"
"51","Mean Utility 51","-0.413367874725875","0.0487477664096871"
"52","Mean Utility 52","3.16325113976668","0.0557246146903539"
"53","Mean Utility 53","4.04614679888102","0.0986823125023517"
"54","U x Female","0.00169751705390495","0.0230440313322049"
"55","U x Black","-0.106413709062754","0.0565084033689232"
"56","U x Hispanic","-0.106203669607781","0.0389219620665604"
"57","U x White","-1.09774457418777","0.0448294161749731"
"58","U x Poverty","0.0702258770663292","0.026474670008941"
"59","U x LEP","-0.275548290683938","0.0396946818815929"
"60","U x English Home","-0.136566364697345","0.0306067710491152"
"61","U x Lag ELA","0.174597972830998","0.0181124195703391"
"62","U x Lag Math","0.202008510729276","0.0176481194422411"
"63","U x Income","-0.0588522954087016","0.00483733747444796"
"64","U x In Magnet","1.27470243379488","0.0377493121498479"
"65","U x Peer Q","0.123373145644069","0.0283002512388757"
"66","Distance Cost","-0.32486248095201","0.00493929840801568"
"67","Distance Cost x Female","-0.00210342681174659","0.00316560053380367"
"68","Distance Cost x Black","0.0162698520960952","0.00710277086778541"
"69","Distance Cost x Hispanic","-0.0123204141438086","0.00528854681975875"
"70","Distance Cost x White","-0.130558991783792","0.0074273444195231"
"71","Distance Cost x Poverty","-0.0150144406397246","0.00350624422014202"
"72","Distance Cost x LEP","0.0164877189773787","0.00532869183016009"
"73","Distance Cost x English Home","0.0235571076898104","0.00429427617712208"
"74","Distance Cost x Lag ELA","-0.00017037180418264","0.00241859302075703"
"75","Distance Cost x Lag Math","-0.00644740614465903","0.00233053962777311"
"76","Distance Cost x Income","-0.00141875359497611","0.000742916991344645"
"77","Distance Cost x In Magnet","0.0758511593383925","0.00400022043555105"
"78","Distance Cost x Peer Q","0.0259010797841583","0.00370060706953609"
"79","Distance Cost Squared","0.0036403001785608","0.000220922488730859"
"80","App. Cost","0.208573738100122","0.0137659246851013"
"81","App. Cost x Female","0.00223604292236999","0.00313958826781117"
"82","App. Cost x Black","-0.0348369394978716","0.0082353592791697"
"83","App. Cost x Hispanic","0.064826546687718","0.00639421675642331"
"84","App. Cost x White","-0.0829280992771126","0.00739084323843475"
"85","App. Cost x Poverty","0.0139340220607547","0.00363864888616572"
"86","App. Cost x LEP","0.00963485402366294","0.00456929586449544"
"87","App. Cost x English Home","-0.00998726181019779","0.0044691031632642"
"88","App. Cost x Lag ELA","-0.0328439589501675","0.00260358264807595"
"89","App. Cost x Lag Math","-0.0183663209054847","0.00251252128598985"
"90","App. Cost x Income","0.00517870428000289","0.000661262340366656"
"91","App. Cost x In Magnet","-0.097306348935817","0.00655251644115062"
"92","App. Cost x Peer Q","-0.0260262505798139","0.00453685294493946"
"93","SD eta","0.362966363759758","0.00597775591876942"
"94","SD theta 1","0.188969796152991","0.0623076703800468"
"95","SD theta 2","0.125377509819713","0.0425653120070216"
"96","SD theta 3","0.540738957118017","0.0390476773558204"
"97","Alpha 1","1.91259922146567","0.0768095100460955"
"98","Alpha 2","2.00124116855442","0.0633016939248436"
"99","Mu theta 1","-0.875976720807952","0.0461480342673043"
"100","Mu theta 2","0.430092779411572","0.0421510883675228"
"101","Type 1 Probability","0.446351787298251","0.0255792939938529"
"102","Type 2 Probability","0.487723842403453","0.0251991021466193"
"103","Mu theta 3","2.74901786971459","1.05065197776135"
